"","Region","RunName","HSI_0.5","Year","Month","Action","HSI_mean"
"192","Suisun Bay","smscg_1986.07_hsit.avgmon_rma",425545,"1986","July","GateAction",0.413614511489868
"193","Suisun Bay","smscg_1986.08_hsit.avgmon_rma",22,"1986","August","GateAction",0.250144124031067
"194","Suisun Bay","smscg_1986.09_hsit.avgmon_rma",447086,"1986","Sep","GateAction",0.413317680358887
"195","Suisun Bay","smscg_1986.10_hsit.avgmon_rma",289151,"1986","Oct","GateAction",0.370071440935135
"196","Suisun Bay","no.action_1940.06_hsit.avgmon_rma",263989,"1940","June","noAction",0.390062659978867
"197","Suisun Bay","no.action_1940.07_hsit.avgmon_rma",477215,"1940","July","noAction",0.427313566207886
"198","Suisun Bay","no.action_1940.08_hsit.avgmon_rma",7622,"1940","August","noAction",0.274291396141052
"199","Suisun Bay","no.action_1940.09_hsit.avgmon_rma",445940,"1940","Sep","noAction",0.415094792842865
"200","Suisun Bay","no.action_1940.10_hsit.avgmon_rma",290074,"1940","Oct","noAction",0.371907532215118
"201","Suisun Bay","no.action_1979.06_hsit.avgmon_rma",1052981,"1979","June","noAction",0.635608077049255
"202","Suisun Bay","no.action_1979.07_hsit.avgmon_rma",716752,"1979","July","noAction",0.504615247249603
"203","Suisun Bay","no.action_1979.08_hsit.avgmon_rma",45602,"1979","August","noAction",0.280752062797546
"204","Suisun Bay","no.action_1979.09_hsit.avgmon_rma",0,"1979","Sep","noAction",0.182023629546165
"205","Suisun Bay","no.action_1979.10_hsit.avgmon_rma",0,"1979","Oct","noAction",0.182975500822067
"206","Suisun Bay","no.action_1986.06_hsit.avgmon_rma",300539,"1986","June","noAction",0.40125384926796
"207","Suisun Bay","no.action_1986.07_hsit.avgmon_rma",434417,"1986","July","noAction",0.417220711708069
"208","Suisun Bay","no.action_1986.08_hsit.avgmon_rma",1208,"1986","August","noAction",0.265257656574249
"209","Suisun Bay","no.action_1986.09_hsit.avgmon_rma",430451,"1986","Sep","noAction",0.407261461019516
"210","Suisun Bay","no.action_1986.10_hsit.avgmon_rma",286868,"1986","Oct","noAction",0.367574512958527
"211","Suisun Marsh","smscg_1940.06_hsit.avgmon_rma",554756,"1940","June","GateAction",0.631401240825653
"212","Suisun Marsh","smscg_1940.07_hsit.avgmon_rma",434374,"1940","July","GateAction",0.563440978527069
"213","Suisun Marsh","smscg_1940.08_hsit.avgmon_rma",207878,"1940","August","GateAction",0.375416547060013
"214","Suisun Marsh","smscg_1940.09_hsit.avgmon_rma",193569,"1940","Sep","GateAction",0.425561845302582
"215","Suisun Marsh","smscg_1940.10_hsit.avgmon_rma",188673,"1940","Oct","GateAction",0.417931824922562
"216","Suisun Marsh","smscg_1979.06_hsit.avgmon_rma",676821,"1979","June","GateAction",0.708580493927002
"217","Suisun Marsh","smscg_1979.07_hsit.avgmon_rma",202414,"1979","July","GateAction",0.393586218357086
"218","Suisun Marsh","smscg_1979.08_hsit.avgmon_rma",95886,"1979","August","GateAction",0.216526627540588
"219","Suisun Marsh","smscg_1979.09_hsit.avgmon_rma",69279,"1979","Sep","GateAction",0.184178918600082
"220","Suisun Marsh","smscg_1979.10_hsit.avgmon_rma",98104,"1979","Oct","GateAction",0.181620329618454
"221","Suisun Marsh","smscg_1986.06_hsit.avgmon_rma",590601,"1986","June","GateAction",0.610759198665619
"222","Suisun Marsh","smscg_1986.07_hsit.avgmon_rma",298035,"1986","July","GateAction",0.519581973552704
"223","Suisun Marsh","smscg_1986.08_hsit.avgmon_rma",192162,"1986","August","GateAction",0.286950200796127
"224","Suisun Marsh","smscg_1986.09_hsit.avgmon_rma",191186,"1986","Sep","GateAction",0.424294352531433
"225","Suisun Marsh","smscg_1986.10_hsit.avgmon_rma",195579,"1986","Oct","GateAction",0.431625306606293
"226","Suisun Marsh","no.action_1940.06_hsit.avgmon_rma",557563,"1940","June","noAction",0.632516622543335
"227","Suisun Marsh","no.action_1940.07_hsit.avgmon_rma",231855,"1940","July","noAction",0.362078130245209
"228","Suisun Marsh","no.action_1940.08_hsit.avgmon_rma",76241,"1940","August","noAction",0.179791197180748
"229","Suisun Marsh","no.action_1940.09_hsit.avgmon_rma",40053,"1940","Sep","noAction",0.263107120990753
"230","Suisun Marsh","no.action_1940.10_hsit.avgmon_rma",147785,"1940","Oct","noAction",0.364624321460724
"231","Suisun Marsh","no.action_1979.06_hsit.avgmon_rma",676821,"1979","June","noAction",0.708586394786835
"232","Suisun Marsh","no.action_1979.07_hsit.avgmon_rma",202514,"1979","July","noAction",0.393737614154816
"233","Suisun Marsh","no.action_1979.08_hsit.avgmon_rma",205,"1979","August","noAction",0.120975770056248
"234","Suisun Marsh","no.action_1979.09_hsit.avgmon_rma",0,"1979","Sep","noAction",0.080003559589386
"235","Suisun Marsh","no.action_1979.10_hsit.avgmon_rma",63589,"1979","Oct","noAction",0.151823937892914
"236","Suisun Marsh","no.action_1986.06_hsit.avgmon_rma",591443,"1986","June","noAction",0.611333608627319
"237","Suisun Marsh","no.action_1986.07_hsit.avgmon_rma",227641,"1986","July","noAction",0.418181568384171
"238","Suisun Marsh","no.action_1986.08_hsit.avgmon_rma",56983,"1986","August","noAction",0.159503489732742
"239","Suisun Marsh","no.action_1986.09_hsit.avgmon_rma",41737,"1986","Sep","noAction",0.262005567550659
"240","Suisun Marsh","no.action_1986.10_hsit.avgmon_rma",156119,"1986","Oct","noAction",0.387757629156113
"241","Upper Sacramento","smscg_1940.06_hsit.avgmon_rma",0,"1940","June","GateAction",0.34761381149292
"242","Upper Sacramento","smscg_1940.07_hsit.avgmon_rma",3085,"1940","July","GateAction",0.358609050512314
"243","Upper Sacramento","smscg_1940.08_hsit.avgmon_rma",2478,"1940","August","GateAction",0.351626366376877
"244","Upper Sacramento","smscg_1940.09_hsit.avgmon_rma",3777,"1940","Sep","GateAction",0.362746387720108
"245","Upper Sacramento","smscg_1940.10_hsit.avgmon_rma",0,"1940","Oct","GateAction",0.346218973398209
"246","Upper Sacramento","smscg_1979.06_hsit.avgmon_rma",0,"1979","June","GateAction",0.346746146678925
