accepted.name,input.name,input.match,currently.accepted,genus.only,kingdom,phylum,class,order,family,genus,species,infrasp,long.name,taxonomic.status,taxon.rank,mod.date,authorship
Tryblionella coarctata f. densestriata,Tryblionella coarctata,0,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Tryblionella,coarctata,densestriata,Tryblionella coarctata f. densestriata Álvarez-Blanco & S.Blanco,currently accepted taxonomically,forma,2022-03-29,Álvarez-Blanco & S.Blanco
Tryblionella coarctata,Tryblionella coarctata,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Tryblionella,coarctata,NA,Tryblionella coarctata (Grunow) D.G.Mann,currently accepted taxonomically,species,2022-03-29,(Grunow) D.G.Mann
Tryblionella,Tryblionella,1,1,1,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Tryblionella,NA,NA,"Tryblionella W.Smith, 1853",currently accepted taxonomically,genus,2021-05-04,W.Smith
Cocconeis skvortsovii Sheshukova-Poretskaya,Cocconeis placentula,0,0,0,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,placentula,baicalensis,Cocconeis placentula var. baicalensis Skvortsov & K.I.Meyer,homotypic or heterotypic synonym,variety,2023-05-31,Skvortsov & K.I.Meyer
Cocconeis skvortsovii Sheshukova-Poretskaya,Cocconeis placentula,0,0,0,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,placentula,baikalensis,Cocconeis placentula var. baikalensis Skvortsov,homotypic or heterotypic synonym,variety,2023-05-31,Skvortsov
Cocconeis skvortsovii Sheshukova-Poretskaya,Cocconeis placentula,0,0,0,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,placentula,baicalensis,Cocconeis placentula subsp. baicalensis (Skvortsov & K.I.Meyer) Skabichevskij,homotypic or heterotypic synonym,subspecies,2023-05-31,(Skvortsov & K.I.Meyer) Skabichevskij
Cocconeis pediculus var. baltica,Cocconeis pediculus,0,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,pediculus,baltica,Cocconeis pediculus var. baltica (Juhlin-Dannfelt) P.Schulz,currently accepted taxonomically,variety,2023-01-30,(Juhlin-Dannfelt) P.Schulz
Cocconeis skvortsovii Sheshukova-Poretskaya,Cocconeis placentula,0,0,0,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,placentula,baicalensis,Cocconeis placentula var. baicalensis Skvortsov & K.I.Meyer,homotypic or heterotypic synonym,variety,2023-05-31,Skvortsov & K.I.Meyer
Cocconeis skvortsovii Sheshukova-Poretskaya,Cocconeis placentula,0,0,0,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,placentula,baikalensis,Cocconeis placentula var. baikalensis Skvortsov,homotypic or heterotypic synonym,variety,2023-05-31,Skvortsov
Cocconeis skvortsovii Sheshukova-Poretskaya,Cocconeis placentula,0,0,0,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,placentula,baicalensis,Cocconeis placentula subsp. baicalensis (Skvortsov & K.I.Meyer) Skabichevskij,homotypic or heterotypic synonym,subspecies,2023-05-31,(Skvortsov & K.I.Meyer) Skabichevskij
Upsilococconeis,Cocconeis,0,1,1,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Upsilococconeis,NA,NA,"Upsilococconeis C.Riaux-Gobin, A.Witkowski & Y.Risjani, 2022",currently accepted taxonomically,genus,2022-05-21,"Riaux-Gobin, A.Witkowski & Y.Risjani"
Craticula accomoda,Craticula accomoda,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula,accomoda,NA,Craticula accomoda (Hustedt) D.G.Mann,currently accepted taxonomically,species,2023-01-19,(Hustedt) D.G.Mann
Craticula buderi,Craticula buderi,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula,buderi,NA,Craticula buderi (Hustedt) Lange-Bertalot,currently accepted taxonomically,species,2020-10-30,(Hustedt) Lange-Bertalot
Craticula ambigua,Craticula ambigua,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula,ambigua,NA,Craticula ambigua (Ehrenberg) D.G.Mann,currently accepted taxonomically,species,2023-03-28,(Ehrenberg) D.G.Mann
