"","Year","Date","Survey","Station","turbidity","Secchi"
"434",1970,1970-10-17,4,"418",58,0.200000002980232
"435",1970,1970-10-18,4,"501",31,0.349999994039536
"436",1970,1970-10-18,4,"503",37,0.300000011920929
"437",1970,1970-10-18,4,"505",38,0.28999999165535
"438",1970,1970-10-18,4,"507",41,0.270000010728836
"439",1970,1970-10-18,4,"509",36,0.310000002384186
"440",1970,1970-10-18,4,"511",38,0.28999999165535
"441",1970,1970-10-18,4,"513",25,0.419999986886978
"442",1970,1970-10-17,4,"515",57,0.200000002980232
"443",1970,1970-10-17,4,"517",45,0.25
"444",1970,1970-10-18,4,"519",42,0.270000010728836
"445",1970,1970-10-17,4,"602",59,0.189999997615814
"446",1970,1970-10-17,4,"604",85,0.140000000596046
"447",1970,1970-10-17,4,"606",48,0.239999994635582
"448",1970,1970-10-19,4,"608",30,0.360000014305115
"449",1970,1970-10-19,4,"701",29,0.370000004768372
"450",1970,1970-10-19,4,"703",20,0.509999990463257
"451",1970,1970-10-19,4,"705",17,0.589999973773956
"452",1970,1970-10-19,4,"707",14,0.689999997615814
"453",1970,1970-10-19,4,"709",10,0.889999985694885
"454",1970,1970-10-19,4,"802",26,0.409999996423721
"455",1970,1970-10-19,4,"804",18,0.560000002384186
"456",1970,1970-10-19,4,"806",12,0.779999971389771
"457",1970,1970-10-20,4,"808",12,0.779999971389771
"458",1970,1970-10-20,4,"810",14,0.689999997615814
"459",1970,1970-10-20,4,"812",11,0.829999983310699
"460",1970,1970-10-20,4,"814",11,0.829999983310699
"461",1970,1970-10-20,4,"902",12,0.779999971389771
"462",1970,1970-10-20,4,"903",10,0.889999985694885
"463",1970,1970-10-20,4,"904",11,0.829999983310699
"464",1970,1970-10-20,4,"906",16,0.620000004768372
"465",1970,1970-10-20,4,"908",14,0.689999997615814
"466",1970,1970-10-20,4,"910",18,0.560000002384186
"467",1970,1970-10-20,4,"914",18,0.560000002384186
"468",1970,1970-10-20,4,"915",12,0.779999971389771
"469",1970,1970-11-10,5,"101",4,1.62000000476837
"470",1970,1970-11-10,5,"102",5,1.42999994754791
"471",1970,1970-11-10,5,"103",5,1.42999994754791
"472",1970,1970-11-10,5,"104",5,1.42999994754791
"473",1970,1970-11-10,5,"105",6,1.26999998092651
"474",1970,1970-11-10,5,"106",3,1.87999999523163
"475",1970,1970-11-10,5,"107",4,1.62000000476837
"476",1970,1970-11-10,5,"108",4,1.62000000476837
"477",1970,1970-11-10,5,"109",5,1.42999994754791
"478",1970,1970-11-10,5,"110",5,1.42999994754791
"479",1970,1970-11-10,5,"111",4,1.62000000476837
"480",1970,1970-11-10,5,"112",4,1.62000000476837
"481",1970,1970-11-10,5,"113",3,1.87999999523163
"482",1970,1970-11-10,5,"201",3,1.87999999523163
"483",1970,1970-11-10,5,"202",3,1.87999999523163
"484",1970,1970-11-10,5,"203",3,1.87999999523163
"485",1970,1970-11-10,5,"204",3,1.87999999523163
"486",1970,1970-11-10,5,"205",5,1.42999994754791
"487",1970,1970-11-10,5,"206",4,1.62000000476837
"488",1970,1970-11-10,5,"207",2,2.23000001907349
"489",1970,1970-11-10,5,"208",4,1.62000000476837
"490",1970,1970-11-10,5,"209",5,1.42999994754791
"491",1970,1970-11-11,5,"210",4,1.62000000476837
"492",1970,1970-11-11,5,"211",4,1.62000000476837
"493",1970,1970-11-11,5,"301",4,1.62000000476837
"494",1970,1970-11-11,5,"302",8,1.04999995231628
